timestamp,curah_hujan_mm_per_jam,ketinggian_muka_air_meter,debit_air_m3_per_detik
2025-11-01 00:00:00,0.0,1.5,5.0
2025-11-01 00:10:00,0.0,1.5,5.15
2025-11-01 00:20:00,0.0,1.51,5.38
2025-11-01 00:30:00,0.0,1.51,5.06
2025-11-01 00:40:00,0.0,1.51,5.26
2025-11-01 00:50:00,0.0,1.52,5.39
2025-11-01 01:00:00,0.0,1.52,5.32
2025-11-01 01:10:00,0.0,1.53,5.41
2025-11-01 01:20:00,0.0,1.53,5.03
2025-11-01 01:30:00,0.0,1.54,5.29
2025-11-01 01:40:00,0.0,1.55,5.14
2025-11-01 01:50:00,0.0,1.55,5.21
2025-11-01 02:00:00,0.0,1.55,5.43
2025-11-01 02:10:00,0.0,1.55,5.03
2025-11-01 02:20:00,0.0,1.56,5.11
2025-11-01 02:30:00,0.0,1.56,5.32
2025-11-01 02:40:00,0.0,1.57,5.03
2025-11-01 02:50:00,0.0,1.57,5.45
2025-11-01 03:00:00,0.0,1.57,5.36
2025-11-01 03:10:00,0.0,1.57,5.27
2025-11-01 03:20:00,0.0,1.57,5.42
2025-11-01 03:30:00,0.0,1.58,5.25
2025-11-01 03:40:00,0.0,1.57,5.34
2025-11-01 03:50:00,0.0,1.57,5.43
2025-11-01 04:00:00,0.0,1.58,5.45
2025-11-01 04:10:00,0.0,1.58,5.42
2025-11-01 04:20:00,0.0,1.58,5.34
2025-11-01 04:30:00,0.0,1.58,5.25
2025-11-01 04:40:00,0.0,1.59,5.08
2025-11-01 04:50:00,0.0,1.59,5.21
2025-11-01 05:00:00,0.0,1.59,5.18
2025-11-01 05:10:00,0.0,1.6,5.23
2025-11-01 05:20:00,0.0,1.6,5.06
2025-11-01 05:30:00,0.0,1.59,5.39
2025-11-01 05:40:00,0.0,1.6,5.21
2025-11-01 05:50:00,0.0,1.6,5.18
2025-11-01 06:00:00,0.0,1.6,5.49
2025-11-01 06:10:00,0.0,1.6,5.15
2025-11-01 06:20:00,0.0,1.61,5.05
2025-11-01 06:30:00,0.0,1.61,5.19
2025-11-01 06:40:00,0.0,1.61,5.52
2025-11-01 06:50:00,0.0,1.62,5.11
2025-11-01 07:00:00,0.0,1.61,5.41
2025-11-01 07:10:00,0.0,1.61,5.33
2025-11-01 07:20:00,0.0,1.61,5.2
2025-11-01 07:30:00,0.0,1.62,5.2
2025-11-01 07:40:00,0.0,1.62,5.37
2025-11-01 07:50:00,0.0,1.61,5.38
2025-11-01 08:00:00,0.0,1.62,5.53
2025-11-01 08:10:00,0.0,1.61,5.11
2025-11-01 08:20:00,0.0,1.61,5.52
2025-11-01 08:30:00,0.0,1.61,5.39
2025-11-01 08:40:00,0.0,1.61,5.29
2025-11-01 08:50:00,0.0,1.61,5.08
2025-11-01 09:00:00,0.0,1.6,5.29
2025-11-01 09:10:00,0.0,1.61,5.18
2025-11-01 09:20:00,0.0,1.6,5.42
2025-11-01 09:30:00,0.0,1.6,5.28
2025-11-01 09:40:00,0.0,1.6,5.35
2025-11-01 09:50:00,0.0,1.6,5.24
2025-11-01 10:00:00,0.0,1.6,5.3
2025-11-01 10:10:00,0.0,1.61,5.15
2025-11-01 10:20:00,0.0,1.6,5.41
2025-11-01 10:30:00,0.0,1.6,5.35
2025-11-01 10:40:00,0.0,1.61,5.18
2025-11-01 10:50:00,0.0,1.61,5.26
2025-11-01 11:00:00,0.0,1.61,5.08
2025-11-01 11:10:00,0.0,1.61,5.23
2025-11-01 11:20:00,0.0,1.61,5.35
2025-11-01 11:30:00,0.0,1.61,5.5
2025-11-01 11:40:00,0.0,1.61,5.46
2025-11-01 11:50:00,0.0,1.61,5.06
2025-11-01 12:00:00,0.0,1.61,5.28
2025-11-01 12:10:00,0.0,1.61,5.4
2025-11-01 12:20:00,0.0,1.61,5.45
2025-11-01 12:30:00,0.0,1.61,5.42
2025-11-01 12:40:00,0.0,1.61,5.08
2025-11-01 12:50:00,0.0,1.62,5.4
2025-11-01 13:00:00,0.0,1.62,5.14
2025-11-01 13:10:00,0.0,1.62,5.06
2025-11-01 13:20:00,0.0,1.62,5.1
2025-11-01 13:30:00,0.0,1.62,5.32
2025-11-01 13:40:00,0.0,1.62,5.43
2025-11-01 13:50:00,0.0,1.61,5.24
2025-11-01 14:00:00,0.0,1.61,5.47
2025-11-01 14:10:00,0.0,1.62,5.25
2025-11-01 14:20:00,0.0,1.62,5.16
2025-11-01 14:30:00,0.0,1.62,5.26
2025-11-01 14:40:00,0.0,1.62,5.45
2025-11-01 14:50:00,0.0,1.62,5.2
2025-11-01 15:00:00,0.0,1.61,5.41
2025-11-01 15:10:00,0.0,1.62,5.1
2025-11-01 15:20:00,0.0,1.61,5.04
2025-11-01 15:30:00,0.0,1.61,5.29
2025-11-01 15:40:00,0.0,1.62,5.32
2025-11-01 15:50:00,0.0,1.62,5.3
2025-11-01 16:00:00,0.0,1.61,5.47
2025-11-01 16:10:00,0.0,1.61,5.45
2025-11-01 16:20:00,0.0,1.61,5.52
2025-11-01 16:30:00,0.0,1.62,5.31
2025-11-01 16:40:00,0.0,1.62,5.14
2025-11-01 16:50:00,0.0,1.61,5.2
2025-11-01 17:00:00,0.0,1.61,5.44
2025-11-01 17:10:00,0.0,1.61,5.23
2025-11-01 17:20:00,0.0,1.6,5.06
2025-11-01 17:30:00,0.0,1.6,5.1
2025-11-01 17:40:00,0.0,1.6,5.23
2025-11-01 17:50:00,0.0,1.6,5.4
2025-11-01 18:00:00,0.0,1.6,5.39
2025-11-01 18:10:00,0.0,1.6,5.16
2025-11-01 18:20:00,0.0,1.6,5.03
2025-11-01 18:30:00,0.0,1.6,5.48
2025-11-01 18:40:00,0.0,1.6,5.47
2025-11-01 18:50:00,0.0,1.6,5.5
2025-11-01 19:00:00,0.0,1.6,5.31
2025-11-01 19:10:00,0.0,1.6,5.51
2025-11-01 19:20:00,0.0,1.59,5.35
2025-11-01 19:30:00,0.0,1.59,5.33
2025-11-01 19:40:00,0.0,1.59,5.37
2025-11-01 19:50:00,0.0,1.59,5.04
2025-11-01 20:00:00,0.0,1.59,5.51
2025-11-01 20:10:00,0.0,1.59,5.37
2025-11-01 20:20:00,0.0,1.6,5.35
2025-11-01 20:30:00,0.0,1.59,5.28
2025-11-01 20:40:00,0.0,1.6,5.27
2025-11-01 20:50:00,0.0,1.59,5.25
2025-11-01 21:00:00,0.0,1.6,5.29
2025-11-01 21:10:00,0.0,1.6,5.14
2025-11-01 21:20:00,0.0,1.6,5.48
2025-11-01 21:30:00,0.0,1.6,5.43
2025-11-01 21:40:00,0.0,1.6,5.35
2025-11-01 21:50:00,0.0,1.59,5.39
2025-11-01 22:00:00,0.0,1.59,5.11
2025-11-01 22:10:00,0.0,1.59,5.39
2025-11-01 22:20:00,0.0,1.59,5.17
2025-11-01 22:30:00,0.0,1.58,5.3
2025-11-01 22:40:00,0.0,1.58,5.25
2025-11-01 22:50:00,0.0,1.58,5.38
2025-11-01 23:00:00,0.0,1.58,5.15
2025-11-01 23:10:00,0.0,1.58,5.02
2025-11-01 23:20:00,0.0,1.58,5.27
2025-11-01 23:30:00,0.0,1.57,5.2
2025-11-01 23:40:00,0.0,1.57,5.4
2025-11-01 23:50:00,0.0,1.57,5.06
2025-11-02 00:00:00,0.0,1.58,5.5
2025-11-02 00:10:00,0.0,1.58,5.49
2025-11-02 00:20:00,0.0,1.58,5.41
2025-11-02 00:30:00,0.0,1.58,5.15
2025-11-02 00:40:00,0.0,1.58,5.37
2025-11-02 00:50:00,0.0,1.58,5.47
2025-11-02 01:00:00,0.0,1.58,5.42
2025-11-02 01:10:00,0.0,1.58,5.08
2025-11-02 01:20:00,0.0,1.58,5.23
2025-11-02 01:30:00,0.0,1.58,5.24
2025-11-02 01:40:00,0.0,1.58,5.02
2025-11-02 01:50:00,0.0,1.58,5.5
2025-11-02 02:00:00,0.0,1.58,5.38
2025-11-02 02:10:00,0.0,1.58,5.05
2025-11-02 02:20:00,0.0,1.59,5.42
2025-11-02 02:30:00,0.0,1.59,5.45
2025-11-02 02:40:00,0.0,1.59,5.17
2025-11-02 02:50:00,0.0,1.58,5.22
2025-11-02 03:00:00,0.0,1.58,5.16
2025-11-02 03:10:00,0.0,1.58,5.15
2025-11-02 03:20:00,0.0,1.58,5.43
2025-11-02 03:30:00,0.0,1.59,5.37
2025-11-02 03:40:00,0.0,1.59,5.33
2025-11-02 03:50:00,0.0,1.59,5.1
2025-11-02 04:00:00,0.0,1.59,5.5
2025-11-02 04:10:00,0.0,1.59,5.08
2025-11-02 04:20:00,0.0,1.59,5.23
2025-11-02 04:30:00,0.0,1.59,5.12
2025-11-02 04:40:00,0.0,1.59,5.31
2025-11-02 04:50:00,0.0,1.59,5.4
2025-11-02 05:00:00,0.0,1.59,5.11
2025-11-02 05:10:00,0.0,1.59,5.04
2025-11-02 05:20:00,0.0,1.59,5.32
2025-11-02 05:30:00,0.0,1.6,5.09
2025-11-02 05:40:00,0.0,1.59,5.32
2025-11-02 05:50:00,0.0,1.59,5.32
2025-11-02 06:00:00,0.0,1.59,5.4
2025-11-02 06:10:00,0.0,1.59,5.41
2025-11-02 06:20:00,0.0,1.58,5.36
2025-11-02 06:30:00,0.0,1.59,5.32
2025-11-02 06:40:00,0.0,1.59,5.45
2025-11-02 06:50:00,0.0,1.59,5.1
2025-11-02 07:00:00,0.0,1.59,5.08
2025-11-02 07:10:00,0.0,1.59,5.5
2025-11-02 07:20:00,0.0,1.59,5.23
2025-11-02 07:30:00,0.0,1.58,5.18
2025-11-02 07:40:00,0.0,1.58,5.4
2025-11-02 07:50:00,0.0,1.58,5.48
2025-11-02 08:00:00,0.0,1.59,5.15
2025-11-02 08:10:00,0.0,1.59,5.06
2025-11-02 08:20:00,0.0,1.6,5.05
2025-11-02 08:30:00,0.0,1.6,5.06
2025-11-02 08:40:00,0.0,1.6,5.25
2025-11-02 08:50:00,0.0,1.6,5.15
2025-11-02 09:00:00,0.0,1.6,5.46
2025-11-02 09:10:00,0.0,1.6,5.43
2025-11-02 09:20:00,0.0,1.6,5.25
